brand,model_year,description,fuel,transmission,engine,mileage,price,currency,url,image
Daihatsu,2017,Daihatsu Mira 2017 for sale in Lahore,Petrol,Automatic,660cc,"139,000 km",2785000,PKR,https://www.pakwheels.com/used-cars/daihatsu-mira-2017-for-sale-in-lahore-10834725,https://cache1.pakwheels.com/ad_pictures/1332/daihatsu-mira-l-sa-iii-2017-133265528.jpg
Suzuki,2023,Suzuki Swift 2023 for sale in Faisalabad,Petrol,Automatic,1200cc,"36,000 km",4650000,PKR,https://www.pakwheels.com/used-cars/suzuki-swift-2023-for-sale-in-faisalabad-10834726,https://cache1.pakwheels.com/ad_pictures/1332/suzuki-swift-glx-cvt-2023-133265937.jpg
Mercedes Benz,2005,Mercedes Benz E Class 2005 for sale in Karachi,Petrol,Automatic,1800cc,"66,000 km",4800000,PKR,https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2005-for-sale-in-karachi-10754131,https://cache4.pakwheels.com/ad_pictures/1319/mercedes-benz-e-class-2005-131996181.jpg
Toyota,2013,Toyota Vitz 2013 for sale in Lahore,Petrol,Automatic,1000cc,"93,103 km",3070000,PKR,https://www.pakwheels.com/used-cars/toyota-vitz-2013-for-sale-in-lahore-10834639,https://cache1.pakwheels.com/ad_pictures/1332/toyota-vitz-1-0-f-chambre-a-paris-collection-2013-133264431.jpg
Honda,2012,Honda Civic 2012 for sale in Karachi,Petrol,Automatic,1800cc,"103,710 km",3200000,PKR,https://www.pakwheels.com/used-cars/honda-civic-2012-for-sale-in-karachi-10651963,https://cache4.pakwheels.com/ad_pictures/1304/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2012-130415874.jpg
Daihatsu,2022,Daihatsu Mira 2022 for sale in Karachi,Petrol,Automatic,660cc,"44,927 km",3650000,PKR,https://www.pakwheels.com/used-cars/daihatsu-mira-2022-for-sale-in-karachi-10638282,https://cache4.pakwheels.com/ad_pictures/1302/daihatsu-mira-x-8-2022-130202738.jpg
Honda,2013,Honda N One 2013 for sale in Peshawar,Petrol,Automatic,660cc,"182,013 km",2750000,PKR,https://www.pakwheels.com/used-cars/honda-n-one-2013-for-sale-in-peshawar-10788618,https://cache4.pakwheels.com/ad_pictures/1325/honda-none-premium-2-2013-132548852.jpg
Suzuki,2023,Suzuki Alto 2023 for sale in Karachi,Petrol,Manual,660cc,"48,671 km",2500000,PKR,https://www.pakwheels.com/used-cars/suzuki-alto-2023-for-sale-in-karachi-10788437,https://cache1.pakwheels.com/ad_pictures/1325/suzuki-alto-vxr-2-2023-132545832.jpg
Toyota,2010,Toyota Passo 2010 for sale in Islamabad,Petrol,Automatic,1000cc,"154,631 km",2550000,PKR,https://www.pakwheels.com/used-cars/toyota-passo-2010-for-sale-in-islamabad-10788448,https://cache4.pakwheels.com/ad_pictures/1325/toyota-passo-1-0-x-2010-132546152.jpg
Honda,2020,Honda BR-V 2020 for sale in Karachi,Petrol,Manual,1500cc,"18,374 km",4100000,PKR,https://www.pakwheels.com/used-cars/honda-br-v-2020-for-sale-in-karachi-10788492,https://cache1.pakwheels.com/ad_pictures/1325/honda-br-v-2020-132546865.jpg
Suzuki,2018,Suzuki Bolan 2018 for sale in Islamabad,Petrol,Manual,800cc,"77,677 km",1520000,PKR,https://www.pakwheels.com/used-cars/suzuki-bolan-2018-for-sale-in-islamabad-10788313,https://cache4.pakwheels.com/ad_pictures/1325/suzuki-bolan-st-cargo-2018-132543859.jpg
Honda,2018,Honda Vezel 2018 for sale in Gujranwala,Hybrid,Automatic,1500cc,"92,093 km",7000000,PKR,https://www.pakwheels.com/used-cars/honda-vezel-2018-for-sale-in-gujranwala-10788197,https://cache1.pakwheels.com/ad_pictures/1325/honda-vezel-hybrid-rs-honda-sensing-2018-132541997.jpg
BMW,2014,BMW 7 Series 2014 for sale in Rawalpindi,Hybrid,Automatic,3000cc,"122,219 km",17900000,PKR,https://www.pakwheels.com/used-cars/bmw-7-series-2014-for-sale-in-rawalpindi-10787650,https://cache4.pakwheels.com/ad_pictures/1325/bmw-7-series-active-hybrid-7-2014-132533599.jpg
Suzuki,2020,Suzuki Alto 2020 for sale in Karachi,Petrol,Automatic,660cc,"55,271 km",2500000,PKR,https://www.pakwheels.com/used-cars/suzuki-alto-2020-for-sale-in-karachi-10788122,https://cache2.pakwheels.com/ad_pictures/1325/suzuki-alto-vxl-2-2020-132540916.jpg
BMW,2017,BMW X1 2017 for sale in Lahore,Petrol,Automatic,1500cc,"56,432 km",7800000,PKR,https://www.pakwheels.com/used-cars/bmw-x1-2017-for-sale-in-lahore-10788103,https://cache3.pakwheels.com/ad_pictures/1325/bmw-x1-series-sdrive18i-a-t-2017-132540693.jpg
Suzuki,2022,Suzuki Wagon R 2022 for sale in Rawalpindi,Petrol,Automatic,1000cc,"35,201 km",3100000,PKR,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2022-for-sale-in-rawalpindi-10787724,https://cache3.pakwheels.com/ad_pictures/1325/suzuki-wagon-r-ags-2022-132534783.jpg
KIA,2021,KIA Sportage 2021 for sale in Lahore,Petrol,Automatic,2000cc,"62,000 km",6995000,PKR,https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-lahore-10834684,https://cache4.pakwheels.com/ad_pictures/1332/kia-sportage-awd-2021-133264817.jpg
Honda,2021,Honda City 2021 for sale in Lahore,Petrol,Manual,1300cc,"39,000 km",3925000,PKR,https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-lahore-10834623,https://cache2.pakwheels.com/ad_pictures/1332/honda-city-i-vtec-2-2021-133264148.jpg
